tenure,host_calls,usage_mb,direct_orders,region_seats,partner_visits,plan_years,promo_engaged,driver_price,churn
-1.109718,0.584587,0.506863,2.422873,0.360807,0.277206,-1.112989,-1.173489,-0.849218,1
-1.630150,2.412510,0.811982,0.025263,-0.800064,1.038856,-0.430030,2.166298,-0.509179,1
-0.689560,1.376012,2.086637,0.364492,0.206107,1.122449,-0.894758,2.094041,-0.462674,1
-0.453382,-0.276690,0.115058,-0.517894,2.400772,0.881097,-0.892955,0.975241,-2.396017,1
1.187054,1.925001,1.908901,-0.627507,-0.933366,0.668993,1.830475,0.951298,-1.202649,1
-2.350910,-0.549675,1.260298,-0.379946,-0.117969,0.438085,0.829127,-1.975117,-2.564935,1
-0.071738,0.128193,-1.159223,-1.101835,-1.519291,0.779366,1.277562,1.466496,-1.980868,1
-0.705009,0.608158,-0.091575,-1.039902,1.182308,1.577311,-1.549657,1.726286,-2.263138,1
-0.903596,-0.468909,1.238725,0.484373,-1.515607,-1.275965,0.850782,1.599950,-1.068531,1
-0.860759,1.886420,-0.408468,-0.202565,0.880333,-0.368597,0.441146,0.244250,-1.259943,1
1.367316,-0.397203,0.853456,-1.222777,0.939584,0.157451,1.923211,-0.193525,-3.493191,1
-1.192559,0.192153,-1.429507,0.110477,1.150631,-0.617506,-1.047021,-1.271627,-1.183671,1
-0.772658,0.278737,0.132968,-0.631156,-0.620345,-0.803085,0.706336,-0.671041,-1.344631,1
0.193921,-0.547034,-0.364595,-0.228119,1.146625,-0.075009,-2.052128,0.724046,0.958187,1
-0.732806,-0.759858,0.857668,0.866687,-0.511521,-1.313047,-0.677303,0.226911,-1.187757,1
-0.287466,-0.140995,-0.430280,0.296685,0.417415,-1.890904,0.409214,0.984802,-0.783571,1
0.161733,-0.189558,-0.358641,-0.159236,1.746615,-1.115665,0.251368,1.320664,-0.948303,1
1.012467,-0.449816,-2.517358,1.904495,-0.561519,1.130503,-0.228294,1.197989,-0.467418,1
0.880568,0.559639,-0.925008,1.375439,-0.551547,0.023798,0.422109,-1.124805,-3.151581,1
1.326875,-0.601017,-1.275758,0.217453,0.062472,0.896976,-3.108109,-0.722836,-0.051630,1
0.869084,0.159743,0.635806,-0.313652,0.799273,-1.848657,-0.879326,-0.425430,-0.538466,1
1.126738,0.473641,1.181210,0.350472,-0.561193,0.632596,-0.206676,-2.567037,-0.678849,1
-0.648167,-0.242228,-1.060117,-0.221809,0.746884,-0.150835,-2.574210,1.477130,-1.405530,1
0.744856,0.736103,-0.946476,-0.149697,0.058581,0.356410,1.413399,-1.844984,-1.587461,1
-0.948045,1.502472,-0.590060,-1.912045,-0.023367,-1.191724,-0.791948,0.695275,-0.651369,1
0.433799,1.051123,1.268503,0.493616,1.339712,0.068463,-1.448878,1.722378,-1.319633,1
0.355211,-1.135370,1.242399,0.132600,1.746423,-0.310867,-0.003176,0.018472,-2.222819,1
-0.676701,-0.184197,-0.565043,1.002852,-0.306360,0.182164,0.420825,0.329822,-2.308562,1
1.511995,0.259322,0.455161,0.304387,-0.464946,1.462162,-0.722935,-1.263556,-3.229909,1
1.105644,-1.741151,-0.711301,1.075242,-1.047951,-1.180642,0.624332,0.019280,-2.068590,1
-0.773894,-0.892162,-2.285486,-0.659426,0.673875,-1.145200,0.148206,0.286661,-2.020572,1
-1.180151,0.380233,0.486799,-0.310688,0.076320,-0.820288,-0.353517,-0.733117,-1.894716,1
0.291360,-0.255702,-0.272341,0.254369,0.436861,-1.229873,0.419495,-1.538770,-2.513878,1
-1.180779,-0.024626,1.353479,0.051021,-0.032091,-1.095411,-0.830225,-0.399732,-2.775923,1
0.560659,1.034816,-2.091241,1.571676,0.409153,0.539189,-1.285504,-0.600647,-0.281473,1
1.102436,0.373664,1.878061,0.162521,1.755222,1.502617,0.695040,-0.381999,-1.395524,1
2.185658,-0.094762,-0.496228,0.234264,-0.923577,0.810398,0.028077,-1.219479,-3.331666,1
0.946708,-1.331929,0.214506,0.889570,0.025971,-1.909712,-1.419976,1.170656,-0.658978,1
1.247337,0.029383,-1.051800,0.485363,1.532283,0.353457,-1.130901,-0.280860,-1.020545,1
1.689990,0.129386,-0.157524,0.017959,0.801743,1.934388,-0.873408,0.478015,-0.848882,1
0.762155,0.430309,1.679761,-1.292015,-0.210862,-2.374728,1.022177,-0.156592,0.407056,1
0.946736,-1.300409,-0.073820,-0.693639,1.238129,-1.711846,-1.425751,-1.762704,-0.638004,1
1.485946,1.081901,-0.766946,-1.306115,1.351077,-0.146148,1.413991,0.541983,-1.094086,1
1.082534,-0.557540,0.096339,-0.783444,0.138239,-0.147389,2.380453,-2.183021,-0.872947,1
-0.375214,-2.218759,-0.674687,0.979436,1.006761,-1.002425,0.692658,0.482022,-1.072245,1
-0.914992,1.223653,-1.234130,-1.180991,-0.631581,-0.055034,1.180161,1.851297,-1.144925,1
-0.597428,-0.551678,-0.298445,-0.856364,-0.219137,-0.969598,0.777252,0.055750,-2.074704,1
0.549817,-0.923199,0.514951,0.473304,0.678384,-0.141687,1.358066,-1.332031,-3.068422,1
-0.120482,0.160129,2.126176,-0.286145,-0.901824,-1.924770,-0.119144,0.681115,-3.222752,1
0.585506,2.451865,-0.660571,0.531075,0.286050,-1.232837,1.587494,-2.068028,-2.713276,1
-0.736950,1.086649,0.472884,0.905981,-0.389450,1.053894,-0.933535,-0.393297,-1.531817,1
-1.941626,-2.797278,-0.199280,-0.775647,-0.408185,0.802564,1.046229,0.061681,0.205309,1
-0.029537,0.834730,-1.477405,-0.480988,-2.283277,-1.208474,-0.362291,-0.606214,-1.706301,1
-0.779650,0.233413,0.666938,1.536917,0.419545,1.097216,-0.549220,1.003604,-0.919628,1
-0.968041,-0.198210,0.682792,0.837134,-0.883530,1.342660,1.807243,-1.476904,-2.002711,1
-0.283555,-0.158971,-1.405068,-1.838376,-0.690478,-0.929984,-0.442952,0.937662,-1.874877,1
2.024099,1.506788,0.364186,0.055173,0.088495,-2.298341,-0.114704,2.612515,-0.611795,1
-1.118568,-0.996221,-0.396298,-0.066635,-0.223186,0.012292,-0.583293,-1.607220,-2.592886,1
0.783736,-1.863303,-0.553236,-1.893074,0.750796,1.678705,-1.094330,1.280603,-2.176541,1
-0.948623,1.392906,-1.633178,0.653036,-0.059586,0.019673,-1.282624,-1.189635,-2.315761,1
0.487871,-0.892346,1.373323,0.642233,-0.110825,-0.971804,0.427155,-1.959719,-2.064918,1
-0.973463,-0.282955,-0.798983,0.518053,1.455372,0.118482,-0.584597,2.280924,-1.178962,1
-0.202403,-1.447934,0.215762,0.069152,-1.292091,0.548136,0.283611,-1.638304,-0.299742,1
0.352776,1.130771,-0.544773,1.297130,0.256058,0.994290,-1.122094,0.714322,-3.126009,1
1.221766,-0.855716,1.622334,0.487866,-0.960456,0.587241,-0.551563,0.072325,-1.562759,1
1.365354,0.056325,0.922725,-1.431718,-0.669086,0.279714,0.305953,-0.565330,-1.947596,1
-0.470995,0.165833,1.139229,0.839723,-0.181412,0.027162,-0.307050,-1.696175,-0.359758,1
-0.256507,2.961107,2.580478,0.334957,-0.129592,-1.681979,0.714534,-0.354359,0.190143,1
1.656335,-0.102713,0.880321,-0.312412,1.021637,-0.899508,0.952023,0.682381,-1.451686,1
1.711461,1.562459,0.669047,0.856856,0.630157,-0.026669,-0.500255,0.943031,0.889229,1
-0.201388,1.471294,1.416270,1.266916,0.423269,0.332538,-1.092766,-1.280175,-0.114175,1
1.431343,-0.066525,-0.595256,-0.840289,-1.035388,-0.265265,-0.381522,1.338971,-3.041193,1
-0.370234,0.210759,-0.955566,-0.451660,0.396960,-0.260815,-0.336354,-2.204138,-2.709052,1
-0.695092,0.736889,1.135270,-0.367509,0.965100,-1.919829,-2.547197,0.115153,0.281194,1
1.174260,0.907560,-1.282841,0.041617,0.008535,-0.523898,-1.138414,0.010898,-1.205889,1
2.634276,-1.891817,0.777906,0.972126,-0.279769,-1.128294,0.744026,-0.158264,-1.905968,1
-0.582901,-0.317060,-0.419010,1.381578,-0.432572,-0.435704,1.065346,-0.495811,0.027441,1
0.341926,1.241116,-1.242712,1.174488,-0.457905,-1.444540,1.821673,0.687835,-2.878390,1
0.054219,-0.333854,-0.041382,-0.813024,-0.277975,-0.271220,1.435218,0.290971,-1.011943,1
0.980243,-1.040170,-0.168553,-0.319852,0.923121,-0.413080,-0.285766,0.618070,-3.557582,1
-1.354311,0.383808,1.306515,0.320002,0.310253,-0.727964,-0.398734,0.571399,-2.313107,1
-0.592723,1.534504,0.468293,-0.813717,-0.711878,0.255806,0.190716,0.767962,-0.769697,1
-0.372633,-0.094677,0.187105,-0.910503,-1.160240,-0.825801,1.184410,0.191514,-0.154495,1
-0.471183,0.898766,-0.622402,0.777818,-0.481844,0.234217,-1.581132,-0.436001,-2.325857,1
0.000471,1.861554,-0.613863,-1.512010,0.345611,-0.712734,-0.334042,-1.686250,-1.459326,1
-0.550842,0.482643,-0.110116,-1.572016,-0.304472,-0.703628,1.291803,2.104334,-1.582666,1
1.555986,-0.157320,0.050934,-0.639911,1.449809,0.726819,-1.398289,3.968629,-2.075605,1
-2.603300,0.003788,0.406224,-1.640711,-0.877922,0.190316,0.944503,-0.747914,-2.434084,1
-0.936223,-1.130553,0.188461,0.547353,0.072744,-0.080979,-0.169876,0.533068,-3.013160,1
-0.366466,-0.253355,-1.271311,-0.165629,1.324507,0.467312,0.432012,-0.018519,-1.447620,1
0.395435,0.100640,-0.369767,-1.252508,-1.673991,-1.565357,-1.285431,1.241583,-0.411072,1
0.398753,2.027955,0.281192,0.667979,0.574393,-0.265671,-1.412491,1.572748,-0.236732,1
-0.315037,-0.771679,-0.307619,-0.225433,2.457564,-1.372864,-0.284379,0.359234,0.074850,1
0.527609,-0.066064,-1.185653,-0.648408,-0.538732,-0.911339,-0.542971,-1.723183,-0.517065,1
0.045874,-0.505155,-0.600485,-1.978614,0.058574,0.785900,2.477393,1.666593,-1.246495,1
-0.146329,1.691460,-1.558523,0.046751,0.162062,-1.159679,1.276425,2.999893,-3.013305,1
0.958001,-1.211113,0.460001,-0.063636,0.253969,0.043874,-1.206804,0.887912,-3.341136,1
0.665426,0.030745,1.053187,-0.527088,1.206060,0.561602,0.058630,-2.962022,-1.344507,1
-0.808934,-0.904375,-0.033645,0.438164,-0.745204,-1.021797,-1.122400,1.899598,-1.458750,1
0.645703,0.063817,0.767398,-0.422225,0.240188,-0.389983,-0.163528,1.373615,-2.236956,1
-1.123620,-0.640281,-0.178275,1.038434,1.005617,-0.070031,1.082748,-1.061706,0.075853,1
-0.139765,-0.195180,-0.840862,-0.063118,-0.060111,-0.388036,-2.738175,0.101684,-2.157954,1
-0.143031,0.399558,-1.125517,0.304675,0.330731,-0.862819,0.263655,-0.408504,-1.999484,1
-0.077373,0.276604,0.882686,-0.131806,-0.214393,0.339207,0.825153,-0.801547,-1.065902,1
0.550215,-0.039382,-0.220597,-0.081663,0.409096,0.915820,-0.863092,0.680984,-2.344788,1
-0.605973,1.831251,-0.902523,-0.153336,1.165438,-0.267043,-1.356689,-1.226505,-3.169016,1
0.100614,-0.788623,0.214369,-1.111630,0.549369,-0.182995,1.554706,1.160544,-0.873633,1
0.786111,0.414784,-0.023320,-0.981252,1.468636,-0.844800,2.741245,-0.465258,-1.030911,1
0.792664,1.067209,1.051558,-0.120476,0.706035,-0.381463,1.002893,0.502743,-1.685232,1
-0.524379,-0.808091,0.687195,-0.158534,0.779015,0.323682,1.285773,0.441870,-1.270906,1
1.567066,0.630285,0.111532,-2.763984,1.209095,-0.272151,0.579689,-1.116576,-1.832551,1
1.652472,-0.656796,-1.300502,-1.002552,0.374751,0.644059,-0.034493,-1.011773,0.473669,1
1.690507,-0.376779,-0.818366,-0.391948,0.326219,-1.085594,-1.222198,-1.070471,-1.896886,1
0.101705,-0.107917,0.476827,0.045775,-0.260938,1.509015,-0.640336,-0.717836,-0.842526,1
-0.805521,-2.095652,-1.334297,0.124215,0.254200,0.293956,-0.333514,0.810696,-0.067636,1
-1.378778,-0.852204,0.300281,0.626550,1.491754,1.159810,0.972197,-0.050475,-1.275897,1
-1.491579,-0.301692,-1.235552,0.215551,-0.965650,-1.645775,-0.458188,0.498458,-2.918124,1
-0.847349,-0.062180,-0.003808,-1.729978,0.623479,-0.400423,1.282919,1.642715,-1.886001,1
-0.738696,-0.086335,1.279464,-0.877015,-0.257751,0.414489,-0.270643,0.633892,-2.552494,1
-0.581871,-0.157437,-0.099806,-0.360435,0.371184,-0.175392,0.382044,0.348382,-1.114511,1
-1.151980,-0.172096,0.282300,-0.554721,0.594384,-0.812265,-0.191511,-0.523707,-2.189597,1
0.204386,-1.967602,-0.559402,0.472245,-1.835861,0.864310,0.798626,-0.648261,-2.278668,1
0.925433,0.087782,0.053692,1.115789,0.529730,-0.113527,0.451880,0.886248,-1.416270,1
1.054125,0.345711,-0.330830,-0.165536,-0.494432,0.153378,1.287845,2.014070,-2.055604,1
-0.272418,-0.193816,-0.412957,0.402699,0.863677,1.461694,-1.225812,1.302106,-1.659736,1
-0.342242,-0.401669,0.757047,1.266759,0.807891,-1.321411,-0.239218,-0.499761,-1.966637,1
0.002201,0.096484,-0.847527,-0.233711,-0.457375,-1.924267,-1.181973,0.643294,-1.358335,1
-0.321132,-0.168246,-0.998816,-0.003190,0.040091,0.289106,1.678454,-0.198651,-2.194050,1
0.209939,0.114447,-0.570603,1.396984,-0.341304,0.064906,-0.145286,0.451872,-1.650399,1
0.183286,0.306037,-1.182576,-1.283617,0.269204,0.128446,-0.201380,-0.191900,-1.624550,1
0.151802,0.165917,-0.043841,0.862525,0.322784,-0.856699,-0.602677,0.723097,-0.934289,1
2.256721,-2.604342,-0.158105,-1.339888,0.313674,-0.319643,0.873432,1.028546,-2.475072,1
-0.867856,1.663358,0.025457,-1.799305,-1.557456,-0.476657,0.359179,2.244929,-1.958681,1
-0.118803,-1.377444,0.068249,0.023118,-0.333427,-0.740608,0.331811,0.209100,-0.583072,1
0.086860,0.691172,-0.387568,-0.704820,1.000044,-0.802379,-0.319136,0.597311,-1.639175,1
-0.024172,-0.902121,0.006146,-1.008464,0.143967,0.452280,0.631743,0.725265,-2.459576,1
1.362103,0.070517,2.437239,0.793003,-0.579369,0.622264,0.738101,-0.261344,-1.619493,1
-1.135570,-0.289434,-0.080596,0.714337,0.032324,-1.872511,-0.993601,0.218728,-2.742227,1
-0.809960,0.049993,-0.967961,-0.471007,0.860599,0.144580,1.252742,-0.399082,-0.248525,1
-0.809840,-0.128035,-1.418384,-0.665470,0.313469,-0.128946,-2.073243,0.420527,-1.340281,1
-0.153106,0.023094,0.616195,1.822641,-0.300681,0.556721,0.086730,-0.046215,-0.141453,1
0.329267,2.026972,0.163003,0.757911,-0.623117,0.981811,-0.769765,-1.595455,-0.601435,1
-1.177361,-0.372788,-0.268871,-0.988600,-0.822166,0.457609,0.058571,-1.038742,-1.367055,1
1.550837,-0.486816,-0.871291,0.934025,-0.092206,-0.167649,-0.555765,-0.954272,-2.226875,1
-1.860771,-1.339100,-0.192948,-0.545514,-0.743095,-1.278294,0.699843,1.001588,-2.079513,1
1.259844,2.262822,-0.171193,-1.337782,-0.555676,0.195778,-0.721518,0.577000,-1.969991,1
-0.412830,0.201187,-0.423057,-0.427080,0.551457,0.259319,-0.467073,0.326315,-0.222388,1
0.800165,-1.127072,0.331921,0.457619,0.303265,-0.985495,-0.242961,-1.764696,-2.728421,1
-0.028002,0.447204,0.509225,-0.457278,-1.318092,-0.035328,0.112573,-1.256603,-2.724719,1
-0.368118,0.082256,-0.230781,0.695962,0.908769,0.432957,0.103833,-0.216469,1.386763,1
-0.720863,0.250909,1.786950,0.919655,0.715481,0.862477,0.209187,-2.031078,-2.670179,1
-1.002166,1.197925,0.014502,0.684355,-1.022065,0.256080,-1.484348,1.581173,0.916910,1
-0.073643,1.249984,-1.158982,-0.523247,-0.714879,0.995181,2.898864,-0.980424,-0.341711,1
1.793323,1.939310,0.507626,0.215092,0.873119,-0.900897,1.015873,0.621728,-0.706469,1
-1.568835,-0.005779,-2.783272,0.474030,0.488445,-0.716649,-1.385513,1.034217,0.144413,1
-0.450757,0.479409,-1.312321,1.666617,-0.253486,-1.307834,0.028773,1.779716,-0.876575,1
-0.319594,0.363533,-1.113224,0.844199,-0.376136,-1.009850,-1.029179,-1.186096,-3.082621,1
-0.757273,-0.190394,0.847577,-1.513320,-1.370191,-0.825413,-0.365102,0.495031,-1.520804,1
1.460180,-1.325236,0.846967,-0.320736,0.218064,-1.951142,-0.545479,0.734152,-2.569495,1
-0.191831,0.283955,0.390490,1.202306,-1.666539,1.063805,0.827525,0.138270,-3.031736,1
0.044382,-0.823092,-0.375901,0.610517,-0.252591,0.093141,-0.241502,0.152263,-0.912067,1
0.699452,0.925104,-1.833113,0.434903,-0.317270,0.445392,0.336902,1.385256,0.173195,1
-0.742369,0.018931,0.767398,-0.113634,-2.034916,0.106953,1.150560,0.406172,-2.683600,1
0.309182,-2.007282,-0.050301,0.748221,0.082913,0.176527,1.249848,-0.205671,-0.905993,1
0.802363,-2.145731,-0.419983,1.349490,-0.460554,0.753205,-0.685686,-1.275806,-1.229495,1
-1.353728,-2.159058,-0.161051,1.605827,-1.742797,-2.383301,0.620069,1.579050,-0.803481,1
0.220306,1.311659,-0.446468,-0.150939,1.012480,-0.810190,-0.146966,-1.801894,-2.393488,1
0.615217,2.816542,-1.606935,1.746474,-0.792245,0.503717,0.331432,-0.613031,-1.133864,1
2.589682,-0.627271,0.733358,-0.315741,-0.249550,-0.316261,0.186858,-0.055799,-0.659352,1
-0.797996,-0.295957,-0.411486,2.377747,1.222979,0.548895,-0.303338,0.622057,-0.414642,1
-1.248409,-0.910001,-0.745718,0.335218,0.695459,0.671938,0.154107,-0.781396,-2.958960,1
0.598109,-0.743351,-0.867802,0.916760,-0.537315,-1.601349,1.773669,0.444824,-2.006097,1
-0.104838,1.132976,-1.919695,-0.280036,0.547325,-1.438053,1.479047,0.467939,-2.505226,1
-0.568378,-1.080463,0.463071,-1.183286,-1.396641,1.280533,-0.608644,1.656877,-1.510560,1
0.468835,0.335850,1.648214,0.875315,-0.466714,2.799060,1.916598,1.042750,-1.648858,1
-0.207819,-0.331280,0.782451,0.617092,-0.340983,-1.210165,-1.310765,0.290390,-2.542450,1
1.883272,1.380239,0.490080,-1.481746,-0.471178,1.219197,-1.014563,-0.447830,-1.000231,1
-0.070571,0.529673,2.897797,0.175720,0.812673,0.869430,-0.301259,-0.369111,-1.918650,1
-1.270505,0.709723,0.636788,0.531180,1.217737,-2.292369,0.498199,-0.076624,-2.243665,1
0.161931,-2.031623,-0.368468,-1.116785,0.528193,1.060109,-0.210492,0.313529,-1.648163,1
-0.102878,-2.540087,0.618008,1.073231,0.555697,1.348015,-0.704919,1.050836,-1.227636,1
0.082799,-1.093850,0.274165,1.056246,-1.356310,0.232791,-0.792160,0.646432,-1.875909,1
0.180647,0.963717,2.047950,-1.031250,-0.648469,2.454434,-0.652691,0.578491,-1.041499,1
-1.639058,-0.586628,0.552354,0.548025,-0.455360,1.539274,-0.614337,-0.038612,-0.789013,1
0.410693,0.656251,1.051197,0.854120,0.038507,1.632537,1.280273,0.031939,-1.452635,1
-0.639418,0.201560,-0.255822,-0.600250,0.968780,-0.047426,-1.063839,-1.005631,-1.800751,1
0.722462,0.522578,-1.264997,-2.358780,0.643695,0.605558,0.853862,-0.440917,0.248562,1
1.288385,-0.999901,1.187044,0.810726,0.522259,-0.502938,-0.100158,0.742441,-1.569736,1
0.325771,-0.980617,-0.292696,3.060007,-0.308515,-0.270964,0.586287,-0.215863,-0.444044,1
0.013891,0.625236,0.013869,-1.665464,-2.296022,-1.393459,0.599937,-1.854626,-3.382786,1
0.013526,-0.046614,-0.918858,0.821977,-0.492145,-1.704344,-0.055385,-1.768931,-1.101779,1
0.310592,0.205552,0.050926,-0.153036,-0.832443,1.052773,-0.656592,-0.274597,-2.390111,1
-2.506061,-0.516857,0.138908,0.129221,-0.904060,0.444907,0.327254,-1.252263,-0.179557,1
0.032534,-0.850239,0.663319,0.168696,0.777889,0.373396,-0.976796,0.343564,-4.268757,1
0.097123,-0.097057,-0.733402,-1.129397,0.353344,0.995126,0.164412,-0.519231,-1.722503,1
-0.649040,0.483058,-0.697306,-1.499155,0.335740,-0.552451,-0.511754,-0.491912,-4.315750,1
-1.778345,-0.076563,1.603442,0.971254,1.481815,0.162942,-1.094080,-0.194810,-1.443974,1
0.405412,-0.616713,-1.114778,-0.141488,-1.767034,0.564331,0.129977,1.922293,-2.187081,1
-0.639627,-0.017195,-1.414752,-1.163689,0.161333,-0.395579,-1.276629,-1.204870,-1.495519,1
1.947482,1.503335,0.594980,2.262810,-0.580750,-0.466499,0.684274,0.005575,0.674569,1
1.272772,0.331945,-1.264959,-0.067917,0.366390,1.178945,-0.083542,-0.553194,-1.519279,1
0.959956,-0.483660,1.926427,0.275368,1.291204,-0.344201,2.324573,1.447955,-0.152618,1
-1.335082,1.005172,0.448654,0.357985,-0.259653,-1.284927,0.048344,0.185749,-2.010307,1
1.966305,0.646138,2.118905,-0.325744,1.379543,0.394367,-0.595169,0.167544,-1.420336,1
0.648179,0.335133,0.564403,-0.773543,0.816623,-0.677113,-0.166624,-2.578615,-2.293975,1
-0.974369,-0.308531,0.025920,-0.899807,1.186516,0.954160,-0.270406,-0.213046,-2.134505,1
1.165718,-0.468347,1.131285,0.209825,1.549786,0.013136,0.817438,-1.028239,-3.953195,1
0.288265,1.262140,2.839400,0.231460,-0.245227,-0.718053,0.259325,0.424280,-1.939759,1
0.397544,-0.268909,-0.180760,-0.883508,0.652084,0.463277,1.671624,-1.078842,-1.145460,1
1.190631,1.169160,0.964291,0.736039,1.712174,-1.337913,1.732747,1.877141,-2.052500,1
1.419142,0.375691,0.685759,-0.946453,-0.026160,0.104342,-0.285853,0.459992,-0.021828,1
0.608682,-0.888622,-1.169866,-1.023631,1.273080,0.121802,-0.748930,-0.268131,-1.367801,1
0.915610,0.653410,0.099547,-0.311561,-1.658913,-0.608464,-1.300721,-1.268613,-2.036857,1
2.801380,-1.439258,-0.026558,-0.059076,1.969123,2.121101,-0.298754,-0.182397,-2.643487,1
-0.674513,0.351980,-0.330917,-0.735520,0.545910,1.196023,0.000103,-0.960052,-1.689290,1
0.343004,-1.338666,-0.432980,-1.230734,0.876510,-0.952132,1.492030,-0.401905,-2.125030,1
0.700157,1.340881,-0.888681,1.321354,-0.246252,-0.042875,-0.434913,1.967403,-0.486851,1
-0.466760,1.723823,0.008382,-0.509030,-0.881385,1.032770,-1.072488,-0.888083,-1.659803,1
-0.287412,0.339751,1.566098,0.554580,0.192001,-1.392963,-0.040915,0.780215,-0.949147,1
-0.302637,-0.234110,-0.257343,-0.188303,-1.325874,1.325273,-1.513541,0.874558,-1.791397,1
-1.314316,1.090915,-0.975243,1.243608,-0.774572,0.789956,-0.951118,-0.179415,-1.529930,1
1.622252,0.666593,0.114218,-1.174365,0.455997,-1.702444,1.905088,0.713653,-2.201150,1
0.200300,-0.774784,-2.185542,-0.885393,-0.153664,-0.108825,1.076502,0.902092,-0.172957,1
0.237313,0.761227,-0.201588,-2.075335,-0.375815,0.884271,-0.339559,-1.139111,1.137404,1
-1.842264,-0.819961,-1.978987,-0.574465,0.526176,-1.016147,1.286521,-1.062944,-3.024654,1
-0.279628,-0.869269,-0.489620,-0.059569,0.887257,0.170278,0.618813,-2.245574,-3.105746,1
-0.955984,-0.203540,0.196867,-1.299869,0.998099,0.080734,-0.305638,-1.172986,-1.687161,1
